Nationalratswahl 2019, 29.09.2019 (Bericht wurde generiert am 08.10.2019 um 16:42)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandsösterreicher Wahlberechtigte männlich;Auslandsösterreicher Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;Nr./Wählergruppe8;Name/Wählergruppe8;Stimmen/Wählergruppe8;Prozente/Wählergruppe8;Nr./Wählergruppe9;Name/Wählergruppe9;Stimmen/Wählergruppe9;Prozente/Wählergruppe9;
703;Innsbruck-Land;70315;Grinzens;532;546;2;2;1078;646;59,93;641;5;1;ÖVP;282;43,99;2;SPÖ;97;15,13;3;FPÖ;112;17,47;4;NEOS;53;8,27;5;JETZT;18;2,81;6;GRÜNE;76;11,86;7;GILT;0;0,00;8;KPÖ;2;0,31;9;WANDL;1;0,16;
703;Innsbruck-Land;70317;Gschnitz;171;171;0;1;342;211;61,70;205;6;1;ÖVP;129;62,93;2;SPÖ;22;10,73;3;FPÖ;37;18,05;4;NEOS;12;5,85;5;JETZT;1;0,49;6;GRÜNE;3;1,46;7;GILT;0;0,00;8;KPÖ;1;0,49;9;WANDL;0;0,00;
703;Innsbruck-Land;70354;Hall in Tirol;4427;5140;57;46;9567;5539;57,90;5490;49;1;ÖVP;1718;31,29;2;SPÖ;1063;19,36;3;FPÖ;885;16,12;4;NEOS;574;10,46;5;JETZT;143;2,60;6;GRÜNE;1028;18,72;7;GILT;9;0,16;8;KPÖ;47;0,86;9;WANDL;23;0,42;
703;Innsbruck-Land;70318;Hatting;521;558;5;4;1079;624;57,83;619;5;1;ÖVP;247;39,90;2;SPÖ;84;13,57;3;FPÖ;103;16,64;4;NEOS;65;10,50;5;JETZT;15;2,42;6;GRÜNE;99;15,99;7;GILT;1;0,16;8;KPÖ;3;0,48;9;WANDL;2;0,32;
703;Innsbruck-Land;70319;Inzing;1461;1497;13;17;2958;1843;62,31;1831;12;1;ÖVP;752;41,07;2;SPÖ;262;14,31;3;FPÖ;246;13,44;4;NEOS;183;9,99;5;JETZT;33;1,80;6;GRÜNE;320;17,48;7;GILT;2;0,11;8;KPÖ;18;0,98;9;WANDL;15;0,82;
703;Innsbruck-Land;70320;Kematen in Tirol;1047;1164;10;12;2211;1265;57,21;1254;11;1;ÖVP;507;40,43;2;SPÖ;163;13,00;3;FPÖ;196;15,63;4;NEOS;109;8,69;5;JETZT;31;2,47;6;GRÜNE;239;19,06;7;GILT;0;0,00;8;KPÖ;7;0,56;9;WANDL;2;0,16;
703;Innsbruck-Land;70322;Kolsass;628;632;2;2;1260;828;65,71;819;9;1;ÖVP;365;44,57;2;SPÖ;99;12,09;3;FPÖ;129;15,75;4;NEOS;59;7,20;5;JETZT;12;1,47;6;GRÜNE;147;17,95;7;GILT;3;0,37;8;KPÖ;2;0,24;9;WANDL;3;0,37;
703;Innsbruck-Land;70323;Kolsassberg;309;317;0;1;626;400;63,90;398;2;1;ÖVP;223;56,03;2;SPÖ;30;7,54;3;FPÖ;84;21,11;4;NEOS;26;6,53;5;JETZT;3;0,75;6;GRÜNE;29;7,29;7;GILT;2;0,50;8;KPÖ;1;0,25;9;WANDL;0;0,00;
703;Innsbruck-Land;70325;Lans;406;415;8;1;821;475;57,86;471;4;1;ÖVP;216;45,86;2;SPÖ;34;7,22;3;FPÖ;62;13,16;4;NEOS;60;12,74;5;JETZT;3;0,64;6;GRÜNE;91;19,32;7;GILT;1;0,21;8;KPÖ;3;0,64;9;WANDL;1;0,21;
703;Innsbruck-Land;70326;Leutasch;792;809;9;7;1601;866;54,09;859;7;1;ÖVP;492;57,28;2;SPÖ;48;5,59;3;FPÖ;122;14,20;4;NEOS;82;9,55;5;JETZT;11;1,28;6;GRÜNE;98;11,41;7;GILT;3;0,35;8;KPÖ;1;0,12;9;WANDL;2;0,23;
703;Innsbruck-Land;70327;Matrei am Brenner;350;364;2;3;714;442;61,90;434;8;1;ÖVP;196;45,16;2;SPÖ;70;16,13;3;FPÖ;64;14,75;4;NEOS;50;11,52;5;JETZT;8;1,84;6;GRÜNE;42;9,68;7;GILT;0;0,00;8;KPÖ;1;0,23;9;WANDL;3;0,69;
703;Innsbruck-Land;70328;Mieders;648;688;5;11;1336;766;57,34;758;8;1;ÖVP;352;46,44;2;SPÖ;86;11,35;3;FPÖ;117;15,44;4;NEOS;82;10,82;5;JETZT;8;1,06;6;GRÜNE;110;14,51;7;GILT;1;0,13;8;KPÖ;1;0,13;9;WANDL;1;0,13;
